,index,appeal_count,money_invested,stock_code,stock_mv,left_to_invest
41,保利地产,15,69166430.0,600048.SH,172904463097.38,99.96%
42,建设银行,39,68119290.0,,,nan%
43,浦发银行,38,66278680.0,600000.SH,296162491205.73,99.978%
44,恒生电子,21,65197160.0,600570.SH,71383681717.92,99.909%
45,中航飞机,8,63879050.0,000768.SZ,48063678432.56,99.867%
46,海通证券,13,63622500.0,600837.SH,151707423000.0,99.958%
47,拓邦股份,16,63172400.0,002139.SZ,7100888598.44,99.11%
48,中航光电,12,62300780.0,002179.SZ,37232682349.5,99.833%
49,丽珠集团,36,60708960.0,000513.SZ,32888335008.550003,99.815%
50,美年健康,42,59765110.0,002044.SZ,44687099103.600006,99.866%
51,大参林,9,58589600.0,603233.SH,31805174191.75,99.816%
52,康泰生物,59,58542910.0,300601.SZ,64689848436.600006,99.91%
53,海格通信,10,57502000.0,002465.SZ,27848324067.2,99.794%
54,国泰君安,11,57279050.0,601211.SH,145110480511.13998,99.961%
55,中国太保,25,56480160.0,601601.SH,246486400000.0,99.977%
56,三七互娱,70,55572150.0,002555.SZ,73907686878.03,99.925%
57,温氏股份,28,55472010.0,300498.SZ,167206320539.56,99.967%
58,乐普医疗,46,55272610.0,300003.SZ,64976882028.869995,99.915%
59,爱尔眼科,38,55040550.0,300015.SZ,111861963406.97,99.951%
60,航发动力,7,54745310.0,600893.SH,52308883462.5,99.895%
61,健友股份,42,54514640.0,603707.SH,33588673010.75,99.838%
62,老百姓,31,53118710.0,603883.SH,20675904879.960003,99.743%
63,腾讯控股,16,52403860.00000001,,,nan%
64,华泰证券,30,52191330.0,601688.SH,158478309000.0,99.967%
65,广联达,8,51857180.0,002410.SZ,46229629499.0,99.888%
66,欧普康视,10,50794120.0,300595.SZ,20919819756.0,99.757%
67,九洲药业,27,50479989.99999999,603456.SH,15968228193.22,99.684%
68,我武生物,18,49729790.0,300357.SZ,21294161280.0,99.766%
69,老板电器,5,47800140.0,002508.SZ,25054234920.0,99.809%
70,凯莱英,34,47782620.0,002821.SZ,39450658621.0,99.879%
71,云南白药,65,46348190.0,000538.SZ,97976834413.90001,99.953%
72,伊利股份,46,46250320.0,600887.SH,172832340624.30002,99.973%
73,中国银行,30,45717990.0,,,nan%
74,安图生物,11,44214380.0,603658.SH,45217610423.990005,99.902%
75,汇丰控股,26,43164020.0,,,nan%
76,美团点评-W,3,43153360.00000001,,,nan%
77,海尔智家,13,42797150.0,600690.SH,96127468420.47,99.955%
78,卫 士 通,8,42419850.0,002268.SZ,21268585030.359997,99.801%
79,融创中国,4,42129890.00000001,,,nan%
80,威高股份,16,41119679.99999999,,,nan%
81,兴业证券,6,40987460.0,601377.SH,42925665430.340004,99.905%
82,宁波银行,13,40770830.0,002142.SZ,129845562210.96,99.969%
83,泸州老窖,19,40236180.0,000568.SZ,100555257477.40001,99.96%
84,博腾股份,16,40208159.99999999,300363.SZ,14263405167.24,99.718%
85,中直股份,9,39940310.0,600038.SH,24640126728.8,99.838%
86,友邦保险,6,38320720.0,,,nan%
87,益丰药房,8,38314880.0,603939.SH,31393729622.1,99.878%
88,海大集团,17,37979470.0,002311.SZ,55043851516.02,99.931%
89,宋城演艺,24,37318980.0,300144.SZ,40019344890.0,99.907%
90,南极电商,23,36512730.0,002127.SZ,25530652191.2,99.857%
91,卫宁健康,18,36259080.0,300253.SZ,37630511188.78,99.904%
92,中国动力,6,35534570.0,600482.SH,27458934584.399998,99.871%
93,中航沈飞,7,35347060.0,600760.SH,38216623587.65,99.908%
94,东方雨虹,29,34753190.0,002271.SZ,48500177593.4,99.928%
95,恒力石化,3,34315900.0,600346.SH,91578688215.86,99.963%
96,航天电子,6,34166530.0,600879.SH,18355081167.0,99.814%
97,智飞生物,33,32403060.0,300122.SZ,95504000000.0,99.966%
98,吉比特,46,31214560.0,603444.SH,29128858862.16,99.893%
99,韦尔股份,6,30460600.0,603501.SH,125857653392.51999,99.976%
100,用友网络,5,30446090.0,600588.SH,109943683419.7,99.972%
101,中兴通讯,16,30312090.0,000063.SZ,193150823467.08002,99.984%
102,海螺水泥,41,28963890.0,600585.SH,280174127351.73,99.99%
103,国瓷材料,10,28795210.0,300285.SZ,20615498662.6,99.86%
104,金域医学,40,28777280.0,603882.SH,23535267257.8,99.878%
105,北京银行,19,28530740.0,601169.SH,102120614033.75998,99.972%
106,中国建筑,14,26764240.0,601668.SH,219112787091.41998,99.988%
107,银河娱乐,2,26595380.000000004,,,nan%
108,浪潮信息,15,25901800.0,000977.SZ,51028600928.18,99.949%
109,顺鑫农业,14,25896340.0,000860.SZ,40203770803.8,99.936%
110,兆易创新,10,25845830.0,603986.SH,87899043761.8,99.971%
111,中国神华,9,25456250.000000004,601088.SH,296156448574.95,99.991%
112,成都银行,1,25441240.000000004,601838.SH,27416987625.06,99.907%
113,中南建设,19,24866650.0,000961.SZ,27435415672.64,99.909%
114,绝味食品,10,24696660.0,603517.SH,28423053456.5,99.913%
115,申洲国际,1,24359740.000000004,,,nan%
116,三安光电,6,24303830.000000004,600703.SH,96944160538.56,99.975%
117,双汇发展,10,23490110.0,000895.SZ,115511020211.99998,99.98%
118,绿地控股,1,23447710.000000004,600606.SH,65464670591.299995,99.964%
119,华大基因,33,22250680.0,300676.SZ,29719428000.0,99.925%
120,海王生物,32,22052480.0,000078.SZ,13232773801.03,99.833%
121,济民制药,32,21992320.0,603222.SH,16672000000.0,99.868%
122,以岭药业,45,21950590.0,002603.SZ,20691903188.97,99.894%
123,招商证券,9,21742150.0,600999.SH,112282100354.04001,99.981%
124,瑞声科技,4,21737090.000000004,,,nan%
125,国药股份,32,21658800.0,600511.SH,19232281419.019997,99.887%
126,华兰生物,52,21447320.0,002007.SZ,60612149664.00001,99.965%
127,紫光股份,11,20897260.0,000938.SZ,78161897138.95999,99.973%
128,沃森生物,24,20502800.0,300142.SZ,46568966245.36,99.956%
129,金地集团,7,20395480.0,600383.SH,57922107228.76,99.965%
130,广发证券,14,20120320.0,000776.SZ,105323431516.48,99.981%
131,万孚生物,22,20062630.0,300482.SZ,22902183414.989998,99.912%
132,广誉远,24,19996000.0,600771.SH,6819115800.42,99.707%
133,卓胜微,4,19967220.0,300782.SZ,47800000000.0,99.958%
134,圣农发展,9,19807270.0,002299.SZ,25707227917.920002,99.923%
135,光环新网,18,19630350.0,300383.SZ,40471664920.95999,99.951%
136,万华化学,7,19098370.0,600309.SH,127379520616.82,99.985%
137,申万宏源,5,19038190.0,000166.SZ,113681348302.39998,99.983%
138,紫金矿业,26,18779520.0,601899.SH,87805319413.16,99.979%
139,新 希 望,17,18562080.0,000876.SZ,119018103704.07,99.984%
140,迈克生物,5,18460700.0,300463.SZ,15119226396.4,99.878%
141,京东方Ａ,25,18221370.0,000725.SZ,146153274804.6,99.988%
